device_id,trial,condition,timestamp,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_25,count_26,count_27,count_28,count_29,count_30,count_31,count_32,count_33,count_34,count_35,count_36,count_37,count_38,count_39,count_40,count_41,count_42,count_43,count_44,count_45,count_46,count_47,count_48,count_49,count_50,count_51,count_52,count_53,count_54,count_55,count_56,count_57,count_58,count_59,count_60,count_61,count_62,count_63,count_64,count_65,count_66,count_67,count_68,count_69,count_70,count_71,count_72,count_73,count_74,count_75,count_76,count_77,count_78,count_79,count_80,count_81,count_82,count_83,count_84,count_85,count_86,count_87,count_88,count_89,count_90,count_91,count_92,count_93,count_94,count_95,count_96,count_97,count_98,count_99,count_100,count_101,count_102,count_103,count_104,count_105,count_106,count_107,count_108,count_109,count_110,count_111,count_112,count_113,count_114,count_115,count_116,count_117,count_118,count_119,count_120,count_121,count_122,count_123,count_124,count_125,count_126,count_127,response_hex
0,1,cool,2025-12-08T21:37:33.894141,13062,12997,12613,12236,12225,12228,12272,12514,12045,12780,12856,12741,12398,12063,12509,12462,11936,12355,12579,12597,12552,13413,12505,12033,12954,12931,13176,12334,12317,12162,12136,12372,13153,11351,12574,12169,12710,13067,12619,13665,12332,12750,12431,12042,12847,12631,12109,13290,12800,12988,12934,13050,11839,12517,12975,12418,12943,13239,12492,12097,12323,12456,12029,12146,12294,12053,12935,12676,12242,12211,12427,12521,12431,12540,12027,12938,13153,12448,12266,12992,12307,12611,13089,12648,12607,12551,12600,12909,12596,12396,12339,12399,12641,12436,12534,12047,12299,12737,11921,12216,12352,11661,12210,12720,12611,12564,13141,12850,13334,13122,12185,12235,12960,12490,12605,11993,12583,12570,12367,12615,12539,13070,12014,12620,13035,12738,12816,12824,0x00000000000007A6
0,2,cool,2025-12-08T21:37:33.894287,12225,12407,12857,12997,12463,13089,11810,11353,13165,12613,11691,12686,12582,12368,12938,12675,12951,12366,11940,13189,12327,11727,12665,12803,12604,12242,13179,12484,12643,13313,11788,13014,11946,12364,12517,12600,12541,12406,12397,12775,12384,13279,12945,11980,12536,12836,13059,12039,12752,11858,12213,12699,12473,12194,12771,12827,12454,13564,12317,12257,13134,12443,12492,12353,11954,12266,12625,12567,12578,12133,12575,12183,12155,12396,12172,12998,12693,12584,13286,12270,11994,12190,12725,12425,12524,12041,12169,12829,11881,12575,12241,12705,13086,12182,12533,11975,12360,12547,13005,12563,11822,12917,12441,12504,12955,12329,12621,12246,12212,12593,12481,12242,12338,12891,12324,12804,13097,12663,13232,11996,12434,12171,11583,12716,12152,12600,12049,12050,0x00000000000002F1
0,3,cool,2025-12-08T21:37:33.894398,12347,13020,12486,12535,13344,12789,12788,12821,12884,12009,12141,12267,12768,12559,12809,12838,12782,12559,12183,12919,12596,12335,12484,12527,12398,12379,12530,12628,12433,13020,11739,12042,12811,12205,12697,12796,13047,12907,12470,12846,12555,12724,12786,13038,12242,13509,13026,12383,13045,12935,12782,13342,12317,12096,12736,12413,12499,12344,13247,12799,13281,12120,12533,12363,12548,12444,12920,11795,11832,12925,12472,12760,12929,11684,12431,12153,12343,12165,12213,12017,11557,12818,12899,12407,12331,12250,12022,12973,12677,12620,12676,12243,12459,12853,12366,12426,12379,11570,12043,13112,12104,12363,12624,12859,11984,12785,12427,12142,12463,12687,12177,13051,13055,12743,12679,12630,12217,12684,12455,12562,12146,12461,12442,12457,12830,11549,11992,12708,0x0000000000001BDF
0,4,cool,2025-12-08T21:37:33.894496,12794,12316,12074,12079,13123,12881,12488,12843,12525,12158,12763,12525,12926,12907,11839,12706,12278,12521,12809,12534,12167,12684,12619,12414,12069,11976,11694,12857,11925,11601,12905,12702,11889,12588,12037,13047,13576,12497,12377,12828,12415,12983,12586,12512,12498,11925,12834,12023,12367,13134,12889,12214,12476,12442,12298,13067,12320,12259,13102,12849,12735,12133,12631,11745,12230,12716,12953,12765,12597,12771,12840,12290,12766,13101,12475,12621,12358,12790,12737,12484,12124,12427,12595,12417,12360,12226,12462,11874,12570,12840,12494,11880,13659,12765,12815,12551,12407,12411,12339,12614,13023,12844,11761,12412,12349,12855,12346,12648,11877,13131,12640,12813,12364,12812,11823,12036,13440,13088,12423,12535,12361,12556,12493,13044,13169,11759,12426,12267,0x000000000000040D
0,5,cool,2025-12-08T21:37:33.894592,13050,12910,11724,12734,13386,12297,12578,12451,12942,12298,11602,12540,12815,12341,12383,12622,12773,12238,13203,12374,12424,13085,12773,12501,12150,12956,12294,12856,11987,13262,12809,12091,12453,12845,12949,12751,12708,12924,12320,12486,12372,12837,12457,12388,13331,12944,12819,12614,12260,11964,11902,12659,12154,12329,12444,11658,12421,12638,12296,13108,12449,12642,12716,12328,12381,12985,12212,12171,13074,12438,12573,12890,11424,13666,12814,12916,12312,12418,12881,12698,11478,12747,12192,11855,12554,13076,13018,12247,12701,12177,12450,11923,12740,12598,11932,12776,11767,12851,12464,12659,12867,12245,12685,12276,12979,12971,12394,12167,12069,12870,12752,12199,12160,12651,12373,13291,12312,12331,11446,11503,12644,12360,13005,12482,12483,12854,12867,12020,0x0000000000001B5F
0,6,cool,2025-12-08T21:37:33.894687,12273,12696,12300,12308,12573,12515,12606,12557,12012,12702,12189,12815,12048,12600,12424,12435,12527,12731,12765,12508,12447,12609,12483,12287,12127,12233,12442,12416,11880,13117,12838,12146,12326,12913,13049,12593,12357,12188,13017,11662,12477,13148,12196,12635,11951,12386,12326,12537,12386,13181,12147,12078,12725,11398,13305,11715,12938,12339,12871,12475,12534,12236,12046,12821,12121,12103,12074,13178,12554,12583,12125,12664,12212,12558,12714,12146,12334,12392,12515,12751,12519,12364,12630,12376,13211,12131,12677,12586,12615,12484,12373,12445,12321,12691,11731,12062,12588,12272,12611,12109,12427,12497,12341,12717,11827,12274,12845,12642,11904,11799,12381,12457,13028,12813,12485,13638,12899,12759,12300,12452,12686,12852,12822,12561,12875,12763,11940,12733,0x0000000000001850
0,7,cool,2025-12-08T21:37:33.894782,11932,12447,12677,12272,12287,12273,12472,12569,12641,11595,12380,12708,12360,12117,12934,11735,12434,11959,12137,12827,12607,12415,12515,12762,12680,12447,11965,13060,13074,12264,13094,12762,12844,12841,13359,12967,12162,12869,12893,13125,12879,12208,12384,12290,12262,12456,12857,12425,13052,12011,12492,12314,12445,12042,12256,12662,12094,12205,11969,12295,12490,12901,12522,12526,12592,12308,12630,12086,12940,12471,12536,13091,12542,13759,11934,12319,12541,12819,12213,11950,12460,12292,12664,12491,12534,12880,12384,12362,12631,12540,12384,13184,12274,12776,12678,12771,12535,12845,12384,12832,12264,11848,12658,12094,12194,12467,11988,12262,12815,12972,12023,12734,12590,12286,11933,12390,12689,11664,12766,12670,12028,13395,12787,13041,12832,12157,13537,12644,0x0000000000001CBC
0,8,cool,2025-12-08T21:37:33.894875,12493,12570,13148,12297,12866,11944,12374,12785,12293,12254,12288,12526,12597,12721,12085,12657,12380,12815,12604,12310,12423,13129,12797,12438,12904,13207,12355,12388,12826,12243,12056,12038,12689,12190,12302,12877,12586,13320,12807,11943,12401,12119,12442,12661,12753,12891,13286,12270,12178,11929,12034,13015,13267,12506,12965,12214,12539,12710,12558,12237,12877,12561,12253,12864,12524,12240,13036,12375,11914,12860,12628,12555,11683,11814,12585,12827,12675,11945,13095,12485,12452,13030,12414,12061,12703,12289,12021,12500,12739,12693,12604,12386,12217,13045,12211,12395,12326,12584,12414,12551,12817,12690,13025,12884,11776,12749,12516,12809,12917,12445,12220,13238,12524,12761,12566,12670,12851,12456,12207,13070,12356,11928,12347,12495,13204,12332,12119,12640,0x00000000000004A7
0,9,cool,2025-12-08T21:37:33.894970,11683,11854,12512,12327,13016,12458,12608,12735,12599,12590,12299,12191,12591,12122,13550,13098,11994,13129,12560,12144,11970,12991,11996,12244,12333,11975,12352,12246,12470,12560,13168,12326,11975,13006,13233,12639,12604,12090,12466,12941,12484,12665,12276,12540,13269,12400,12583,12363,12444,13008,13147,12347,12543,12065,12132,11880,12681,12577,12893,12490,12347,12954,12681,12410,12913,12283,13402,12629,12325,11938,12714,12762,12880,13012,11865,12624,12322,13317,11993,11818,13395,12849,12134,12446,13261,11956,12979,13042,12948,12433,12813,12494,12454,12996,12102,12924,13023,12225,12609,12579,12376,12102,12334,12374,12471,12341,11469,12474,12329,12672,13515,12238,12841,12203,12882,10855,12748,12576,12361,12230,11989,12129,12943,12344,12702,11805,13107,11993,0x000000000000034A
0,10,cool,2025-12-08T21:37:33.895160,12475,12453,12112,13291,13403,12544,12811,12057,12336,12583,13010,12691,13171,12606,12470,11687,12142,12053,12808,12751,12130,12162,11308,12886,12673,12990,12366,12668,12601,12827,12012,12760,12421,12939,12159,12515,11816,12387,13271,12661,12384,11880,12224,12012,12140,12643,12399,12234,12477,12639,11633,12870,12137,11921,12654,13118,12256,12114,12759,13283,12918,12338,12608,12667,13209,12122,12642,12589,12675,12763,12421,12882,12231,12726,13116,12479,12427,12915,11769,12316,12391,12986,13298,12497,13136,12844,12021,12130,12233,12670,13494,11864,12674,11957,12269,12354,12601,12576,12206,12259,12791,12099,12673,12850,12434,12654,11786,13049,11704,12069,12747,12570,12866,12486,12765,12878,12008,12763,12474,13255,12420,12311,12130,12343,12446,12594,12008,12668,0x0000000000001F25
